feature,mi_score,rf_importance,dataset
src_pkts,0.18454918071852422,0.12690678454649013,ton_iot
src_ip_bytes,0.4221104167662941,0.12669442194937147,ton_iot
proto,0.1816681609297679,0.10442630054244835,ton_iot
dst_port,0.41796672579839456,0.07242435060023236,ton_iot
dns_query,0.19677340654750108,0.05892653422568678,ton_iot
dst_ip_bytes,0.2503865303862871,0.05565049783199676,ton_iot
src_port,0.2763988283878187,0.05486007271814656,ton_iot
dst_pkts,0.12092652606772325,0.05172640356911404,ton_iot
dns_qtype,0.12713818860270254,0.043395115449556126,ton_iot
dns_rejected,0.1510908684923924,0.042329873047466667,ton_iot
dns_qclass,0.10744093014330525,0.04031304903826808,ton_iot
conn_state,0.20904293992758216,0.03650445565030853,ton_iot
dns_RD,0.11680204163656605,0.036185629294283386,ton_iot
duration,0.1482749970837809,0.03170610997294094,ton_iot
dns_RA,0.12383674876022432,0.026784812879804196,ton_iot
