dataset,task,model,n_features,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc,pr_auc,latency_us,model_size_mb
ToN-IoT,binary,XGBoost (Hybrid),15,0.9986255924170616,0.9978233882548704,0.9983738058517149,0.9978233882548704,0.9980982464648278,0.9999788838306618,0.9999934623558728,0.8058270176881439,1.122
ToN-IoT,multiclass,XGBoost (Hybrid),15,0.9887701674998223,0.9699327751196174,0.957187722319586,0.9699327751196174,0.9628769513190129,,,,
