dataset,model,n_queries,n_features,total_cfs_generated,proximity_mean,proximity_std,sparsity_mean,sparsity_std,validity_rate
CICIDS2017,XGBoost,100,15,300,11.430594366709999,17.390323134469497,0.11533333333333332,0.029597297173897488,1.0
BoT-IoT,XGBoost,100,10,102,48.1155773701711,38.63941763009152,0.5323529411764706,0.19612009361307287,1.0
ToN-IoT,XGBoost,100,15,300,7.575222763791145,8.672264516192872,0.14066666666666666,0.034290696287066734,1.0
