dataset,model,n_features,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc
ToN-IoT,DT,40,0.999,0.9988,0.9985,0.9988,0.9986,0.9988
ToN-IoT,RF,40,0.9992,0.9986,0.9993,0.9986,0.999,1.0
