dataset,method,n_bootstraps,n_features,jaccard_top5_mean,jaccard_top5_std,jaccard_top10_mean,jaccard_top10_std,jaccard_top15_mean,jaccard_top15_std,kendall_tau_mean,kendall_tau_std
CICIDS2017,SHAP,30,15,0.8648056923918992,0.16556813088398642,1.0,0.0,1.0,0.0,0.9342747673782158,0.03389779152990527
CICIDS2017,LIME,10,15,1.0,0.0,0.7993265993265993,0.10921969369683776,1.0,0.0,0.8395767195767199,0.06773015852349497
BoT-IoT,SHAP,30,10,0.9777777777777777,0.08314794192830981,1.0,0.0,1.0,0.0,0.9278671775223499,0.049800857400056325
BoT-IoT,LIME,10,10,0.8814814814814814,0.1595604387299112,1.0,0.0,1.0,0.0,0.8241975308641973,0.1270816008412194
ToN-IoT,SHAP,30,15,0.9570881226053639,0.11163570177149007,0.9076280041797284,0.09089731964771126,1.0,0.0,0.9344061302681993,0.03243525650225073
ToN-IoT,LIME,10,15,1.0,0.0,0.8161616161616164,0.09863883325845418,1.0,0.0,0.8349206349206351,0.06646985309613919
