dataset,model,n_features,size_bytes,size_kb,n_estimators,max_depth,latency_us_mean,latency_us_std
CICIDS2017,XGBoost,15,1161597,1134.3720703125,400,,9.988368749873189,0.5245074041824741
CICIDS2017,RF,15,20735273,20249.2900390625,200,,77.62948454965226,9.059668466467075
CICIDS2017,DT,15,95353,93.1181640625,1,28.0,0.7945633004055708,0.054167870126008016
BoT-IoT,XGBoost,10,502649,490.8681640625,400,,8.309810999708134,0.130080124260772
BoT-IoT,RF,10,2388233,2332.2587890625,200,,68.69597295026324,5.693188075269298
BoT-IoT,DT,10,13257,12.9462890625,1,15.0,0.7520033001128468,0.06654458720367584
ToN-IoT,XGBoost,15,1117190,1091.005859375,400,,27.086656599931302,3.1301670050379786
ToN-IoT,RF,15,14849193,14501.1650390625,200,,73.48450339977717,5.108765634686512
ToN-IoT,DT,15,51833,50.6181640625,1,26.0,0.4192349499135162,0.04902868546239024
