dataset,method,n_samples,n_features,deletion_auc,insertion_auc,prediction_gap
CICIDS2017,SHAP,500,15,0.7225141333333334,0.9572117333333334,0.26192834973335266
CICIDS2017,LIME,100,15,0.9308215488215487,0.9025117845117846,0.3989852964878082
BoT-IoT,SHAP,500,10,0.8717765598184132,0.9498380667663179,0.07117240130901337
BoT-IoT,LIME,100,10,0.8959595959595958,0.9500000000000001,0.06627684831619263
ToN-IoT,SHAP,500,15,0.7498853333333333,0.9558149333333334,0.14738982915878296
ToN-IoT,LIME,100,15,0.7739049145299145,0.9355101495726496,0.28038010001182556
